,longitude,latitude,altitude,heading,tilt,range,altitudeMode
Plaza_Mayor_de_Salamanca,-5.6639800,40.9649549,796.9393443,1.2535476,31.8720105,1586.7236185,relativeToGround
Sagrada_Familia,2.1739658,41.4033606,41.9021466,45.9814489,44.1113928,2477.1266987,relativeToGround
Cathedral_of_Santiago_de_Compostela,-8.5444787,42.8806364,278.3192014,70.0247714,43.4980707,1078.0526330,relativeToGround
Alhambra_de_Granada,-3.5881413,37.1760783,750.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Palacio_Real_de_Madrid,-3.7143120,40.4173420,600.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Statue_of_Liberty,-74.0445000,40.6892000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Golden_Gate_Bridge,-122.4783000,37.8199000,0.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
Lincoln_Memorial,-77.0502000,38.8893000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Eiffel_Tower,2.2945000,48.8584000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Louvre_Museum,2.3376000,48.8606000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Mont_Saint_Michel,-1.5115000,48.6360000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Colosseum,12.4922000,41.8902000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Leaning_Tower_of_Pisa,10.3966000,43.7230000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Pantheon,12.4769000,41.8986000,0.0000000,0.0000000,45.0000000,600.0000000,relativeToGround
Mount_Rushmore,-103.4591000,43.8791000,1000.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Grand_Canyon,-112.1130000,36.0544000,2000.0000000,0.0000000,45.0000000,5000.0000000,relativeToGround
Empire_State_Building,-73.9857000,40.7484000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Yellowstone_National_Park,-110.5885000,44.4280000,2500.0000000,0.0000000,45.0000000,10000.0000000,relativeToGround
Palace_of_Versailles,2.1204000,48.8049000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Notre-Dame_Cathedral,2.3499000,48.8530000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Arc_de_Triomphe,2.2950000,48.8738000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Pont_du_Gard,4.5350000,43.9476000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Trevi_Fountain,12.4833000,41.9009000,0.0000000,0.0000000,45.0000000,500.0000000,relativeToGround
Milan_Cathedral,9.1919000,45.4641000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Roman_Forum,12.4853000,41.8925000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Pompeii,14.4848000,40.7461000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Mosque–Cathedral_of_Córdoba,-4.7797000,37.8791000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Park_Güell,2.1527000,41.4145000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Big_Ben,-0.1246000,51.5007000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Tower_Bridge,-0.0754000,51.5055000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Stonehenge,-1.8262000,51.1789000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Buckingham_Palace,-0.1419000,51.5014000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Brandenburg_Gate,13.3777000,52.5163000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Neuschwanstein_Castle,10.7498000,47.5576000,1000.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Cologne_Cathedral,6.9583000,50.9413000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Acropolis_of_Athens,23.7257000,37.9715000,200.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Parthenon,23.7267000,37.9715000,200.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Great_Pyramid_of_Giza,31.1342000,29.9792000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Great_Sphinx_of_Giza,31.1376000,29.9753000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Tower_of_London,-0.0759000,51.5081000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Edinburgh_Castle,-3.2002000,55.9486000,130.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Westminster_Abbey,-0.1273000,51.4994000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Berlin_Wall_Memorial,13.3904000,52.5351000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Reichstag_Building,13.3762000,52.5186000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Heidelberg_Castle,8.7155000,49.4106000,200.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Temple_of_Poseidon,24.0305000,37.6501000,60.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Delphi,22.5008000,38.4824000,500.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Meteora,21.6300000,39.7217000,400.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
Palace_of_Knossos,25.1631000,35.2979000,100.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Karnak_Temple,32.6586000,25.7188000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Abu_Simbel,31.6256000,22.3372000,180.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Valley_of_the_Kings,32.6014000,25.7402000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Luxor_Temple,32.6391000,25.6995000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Great_Wall_of_China,116.5704000,40.4319000,600.0000000,0.0000000,45.0000000,3000.0000000,relativeToGround
Forbidden_City,116.3970000,39.9163000,0.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
Terracotta_Army,109.2785000,34.3841000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Summer_Palace,116.2739000,39.9997000,0.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
Temple_of_Heaven,116.4128000,39.8836000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Potala_Palace,91.1172000,29.6577000,3700.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Mount_Fuji,138.7278000,35.3606000,3776.0000000,0.0000000,45.0000000,10000.0000000,relativeToGround
Fushimi_Inari-taisha,135.7727000,34.9671000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Himeji_Castle,134.6939000,34.8394000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Kinkaku-ji,135.7289000,35.0394000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Itsukushima_Shrine,132.3197000,34.2960000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Tokyo_Tower,139.7454000,35.6586000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Taj_Mahal,78.0422000,27.1750000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Hawa_Mahal,75.8267000,26.9239000,0.0000000,0.0000000,45.0000000,500.0000000,relativeToGround
Qutub_Minar,77.1855000,28.5244000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Golden_Temple,74.8765000,31.6200000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Amer_Fort,75.8513000,26.9855000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Ajanta_Caves,75.7033000,20.5519000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Christ_the_Redeemer,-43.2105000,-22.9519000,710.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Sugarloaf_Mountain,-43.1559000,-22.9486000,396.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Iguacu_Falls,-54.4367000,-25.6953000,0.0000000,0.0000000,45.0000000,2000.0000000,relativeToGround
Amazon_Theatre,-60.0231000,-3.1302000,0.0000000,0.0000000,45.0000000,500.0000000,relativeToGround
Cathedral_of_Brasilia,-47.8720000,-15.7982000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Pelourinho,-38.5090000,-12.9714000,0.0000000,0.0000000,45.0000000,800.0000000,relativeToGround
Sydney_Opera_House,151.2153000,-33.8568000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Sydney_Harbour_Bridge,151.2108000,-33.8523000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Uluru,131.0369000,-25.3444000,348.0000000,0.0000000,45.0000000,3000.0000000,relativeToGround
Great_Barrier_Reef,147.6992000,-18.2871000,0.0000000,0.0000000,45.0000000,10000.0000000,relativeToGround
Port_Arthur,147.8488000,-43.1497000,0.0000000,0.0000000,45.0000000,1000.0000000,relativeToGround
Twelve_Apostles,143.1047000,-38.6646000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
Chichen_Itza,-88.5678000,20.6843000,0.0000000,0.0000000,45.0000000,1500.0000000,relativeToGround
